;age;job;marital;education;default;balance;housing;loan;contact;day;month;duration;campaign;pdays;previous;poutcome;favourite_sport;state;first_born;y
10122;37;services;divorced;secondary;no;532.0;yes;no;unknown;11;jun;199.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10123;37;admin.;married;unknown;no;463.0;yes;no;unknown;11;jun;158.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10124;45;management;married;tertiary;no;409.0;no;no;unknown;11;jun;144.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10125;51;housemaid;married;unknown;no;819.0;no;no;unknown;11;jun;316.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10126;36;self-employed;married;tertiary;no;2517.0;no;no;unknown;11;jun;117.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10127;43;management;married;tertiary;no;5523.0;no;no;unknown;11;jun;78.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10128;51;blue-collar;married;primary;no;7080.0;no;no;unknown;11;jun;26.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10129;42;technician;married;unknown;no;0.0;no;no;unknown;11;jun;241.0;1;-1;0;unknown;Soccer;Lisboa;yes;no
10130;42;blue-collar;married;secondary;no;103.0;no;no;unknown;11;jun;95.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10131;38;blue-collar;married;secondary;no;361.0;yes;no;unknown;11;jun;601.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10132;60;retired;married;primary;no;6307.0;yes;no;unknown;11;jun;;1;-1;0;unknown;Soccer;Lisboa;yes;no
10133;57;housemaid;married;primary;no;58.0;no;no;unknown;11;jun;510.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10134;57;housemaid;divorced;primary;no;;no;no;unknown;11;jun;125.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10135;59;retired;single;secondary;no;1150.0;no;no;unknown;11;jun;91.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10136;57;services;divorced;primary;no;362.0;no;no;unknown;11;jun;;1;-1;0;unknown;Basketball;Lisboa;no;no
10137;40;technician;married;secondary;no;;no;no;unknown;11;jun;420.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10138;31;blue-collar;single;secondary;yes;-9.0;yes;yes;unknown;11;jun;115.0;16;-1;0;unknown;Tennis;Lisboa;yes;no
10139;49;entrepreneur;married;tertiary;no;384.0;no;no;unknown;11;jun;64.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10140;42;self-employed;married;tertiary;no;1202.0;no;no;unknown;11;jun;40.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10141;39;admin.;single;secondary;no;35.0;no;no;unknown;11;jun;;1;-1;0;unknown;Basketball;Lisboa;yes;no
10142;54;management;married;tertiary;no;69.0;no;no;unknown;11;jun;;1;-1;0;unknown;Basketball;Lisboa;no;no
10143;52;blue-collar;married;primary;no;1884.0;no;no;unknown;11;jun;;4;-1;0;unknown;Soccer;Lisboa;no;no
10144;39;services;divorced;secondary;no;2.0;yes;yes;unknown;11;jun;;1;-1;0;unknown;Soccer;Lisboa;no;no
10145;46;services;married;secondary;no;;no;no;unknown;11;jun;886.0;2;-1;0;unknown;Basketball;Lisboa;yes;no
10146;51;unknown;married;unknown;no;12.0;no;no;unknown;11;jun;;1;-1;0;unknown;Soccer;Lisboa;no;no
10147;59;retired;married;unknown;no;1033.0;no;no;unknown;11;jun;1199.0;1;-1;0;unknown;Basketball;Lisboa;no;yes
10148;40;admin.;divorced;secondary;no;6.0;no;no;unknown;11;jun;140.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10149;58;housemaid;married;secondary;no;4840.0;no;no;unknown;11;jun;366.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10150;35;services;married;secondary;no;2135.0;no;no;unknown;11;jun;436.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10151;37;blue-collar;single;primary;no;914.0;no;no;unknown;11;jun;72.0;1;-1;0;unknown;Soccer;Lisboa;yes;no
10152;56;unknown;divorced;primary;no;558.0;no;no;unknown;11;jun;119.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10153;52;housemaid;married;primary;no;3283.0;no;no;unknown;11;jun;553.0;1;-1;0;unknown;Basketball;Lisboa;yes;no
10154;56;blue-collar;married;secondary;no;1210.0;no;no;unknown;11;jun;935.0;1;-1;0;unknown;Soccer;Lisboa;no;yes
10155;53;technician;married;tertiary;no;431.0;yes;no;unknown;11;jun;74.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10156;45;unknown;married;primary;no;44.0;no;no;unknown;11;jun;81.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10157;49;management;married;tertiary;no;64.0;no;no;unknown;11;jun;586.0;1;-1;0;unknown;Soccer;Lisboa;no;yes
10158;41;housemaid;single;primary;no;1179.0;yes;no;unknown;11;jun;950.0;4;-1;0;unknown;Soccer;Lisboa;no;no
10159;47;blue-collar;married;secondary;no;303.0;no;no;unknown;11;jun;261.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10160;50;blue-collar;married;tertiary;no;;no;no;unknown;11;jun;159.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10161;43;admin.;divorced;secondary;no;57.0;no;no;unknown;11;jun;46.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10162;40;unemployed;divorced;secondary;no;0.0;no;no;unknown;11;jun;473.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10163;38;blue-collar;married;primary;no;8637.0;yes;no;unknown;11;jun;119.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10164;35;blue-collar;divorced;unknown;no;164.0;no;no;unknown;11;jun;;2;-1;0;unknown;Basketball;Lisboa;no;yes
10165;36;management;single;tertiary;no;0.0;no;no;unknown;11;jun;33.0;1;-1;0;unknown;Tennis;Lisboa;yes;no
10166;38;services;married;secondary;no;433.0;no;no;unknown;11;jun;148.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10167;45;management;married;tertiary;no;1866.0;no;no;unknown;11;jun;116.0;7;-1;0;unknown;Tennis;Lisboa;no;no
10168;58;unknown;married;unknown;no;0.0;no;no;unknown;11;jun;464.0;2;-1;0;unknown;Tennis;Lisboa;no;no
10169;38;blue-collar;married;secondary;yes;-10.0;no;no;unknown;11;jun;174.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10170;36;blue-collar;married;secondary;no;717.0;no;no;unknown;11;jun;63.0;1;-1;0;unknown;Soccer;Lisboa;yes;no
10171;44;blue-collar;married;secondary;no;594.0;no;no;unknown;11;jun;;1;-1;0;unknown;Basketball;Lisboa;yes;no
10172;58;technician;married;primary;no;139.0;no;no;unknown;11;jun;103.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10173;51;technician;married;secondary;no;13089.0;no;no;unknown;11;jun;247.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10174;40;blue-collar;single;primary;no;1780.0;no;yes;unknown;11;jun;114.0;1;-1;0;unknown;Basketball;Lisboa;no;no
10175;23;student;single;secondary;no;;yes;no;unknown;11;jun;327.0;10;-1;0;unknown;Basketball;Lisboa;yes;no
10176;50;blue-collar;married;unknown;no;0.0;no;no;unknown;11;jun;249.0;1;-1;0;unknown;Soccer;Lisboa;no;no
10177;45;housemaid;divorced;primary;no;544.0;no;no;unknown;11;jun;110.0;1;-1;0;unknown;Tennis;Lisboa;yes;no
10178;49;blue-collar;divorced;secondary;no;1869.0;no;yes;unknown;11;jun;257.0;1;-1;0;unknown;Soccer;Lisboa;yes;no
10179;55;retired;married;primary;no;8894.0;no;no;unknown;11;jun;262.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10180;40;blue-collar;married;secondary;no;;no;no;unknown;11;jun;113.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10181;45;technician;divorced;secondary;no;0.0;yes;yes;unknown;11;jun;127.0;1;-1;0;unknown;Tennis;Lisboa;no;no
10182;45;self-employed;married;primary;no;;no;no;unknown;11;jun;183.0;9;-1;0;unknown;Soccer;Lisboa;no;no
10183;48;admin.;married;secondary;no;155.0;no;no;unknown;11;jun;222.0;3;-1;0;unknown;Tennis;Lisboa;yes;no
10184;56;blue-collar;married;secondary;no;0.0;no;no;unknown;11;jun;142.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10185;41;housemaid;divorced;secondary;no;637.0;yes;yes;unknown;11;jun;678.0;4;-1;0;unknown;Tennis;Lisboa;no;no
10186;38;admin.;married;primary;no;464.0;no;yes;unknown;11;jun;86.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10187;59;technician;married;tertiary;no;4445.0;no;no;unknown;11;jun;96.0;7;-1;0;unknown;Basketball;Lisboa;no;no
10188;25;blue-collar;married;primary;no;-83.0;yes;no;unknown;11;jun;211.0;17;-1;0;unknown;Soccer;Lisboa;yes;no
10189;57;housemaid;married;primary;no;2234.0;no;no;unknown;11;jun;201.0;5;-1;0;unknown;Basketball;Lisboa;no;no
10190;54;admin.;married;secondary;no;1326.0;yes;no;unknown;11;jun;105.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10191;36;services;married;secondary;no;24.0;yes;yes;unknown;11;jun;100.0;5;-1;0;unknown;Tennis;Lisboa;no;no
10192;36;unemployed;single;tertiary;no;9019.0;yes;no;unknown;11;jun;952.0;3;-1;0;unknown;Basketball;Lisboa;no;no
10193;36;services;married;secondary;no;;no;no;unknown;11;jun;181.0;2;-1;0;unknown;Basketball;Lisboa;yes;no
10194;48;management;married;secondary;no;397.0;no;no;unknown;11;jun;389.0;6;-1;0;unknown;Tennis;Lisboa;no;no
10195;39;retired;married;secondary;no;-160.0;yes;no;unknown;11;jun;203.0;4;-1;0;unknown;Basketball;Lisboa;no;no
10196;32;management;single;tertiary;no;1160.0;yes;yes;unknown;11;jun;450.0;2;-1;0;unknown;Tennis;Lisboa;no;no
10197;43;entrepreneur;married;tertiary;no;396.0;no;no;unknown;11;jun;105.0;3;-1;0;unknown;Soccer;Lisboa;yes;no
10198;36;management;married;tertiary;no;336.0;no;no;unknown;11;jun;178.0;7;-1;0;unknown;Basketball;Lisboa;yes;no
10199;59;management;married;tertiary;no;7049.0;no;no;unknown;11;jun;647.0;2;-1;0;unknown;Basketball;Lisboa;yes;no
10200;42;self-employed;married;tertiary;no;2821.0;no;no;unknown;11;jun;203.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10201;37;admin.;single;secondary;no;1560.0;yes;no;unknown;11;jun;203.0;2;-1;0;unknown;Soccer;Lisboa;yes;no
10202;28;technician;single;tertiary;no;-803.0;yes;yes;unknown;11;jun;222.0;9;-1;0;unknown;Soccer;Lisboa;yes;no
10203;40;services;married;secondary;no;376.0;yes;yes;unknown;11;jun;268.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10204;41;management;married;tertiary;no;6204.0;no;yes;unknown;11;jun;148.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10205;44;management;single;tertiary;no;825.0;yes;no;unknown;11;jun;427.0;2;-1;0;unknown;Basketball;Lisboa;yes;no
10206;42;blue-collar;married;unknown;no;8600.0;no;no;unknown;11;jun;90.0;9;-1;0;unknown;Basketball;Lisboa;yes;no
10207;41;unknown;single;unknown;no;1259.0;no;no;unknown;11;jun;177.0;8;-1;0;unknown;Basketball;Lisboa;no;no
10208;55;housemaid;married;primary;no;0.0;no;no;unknown;11;jun;306.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10209;60;housemaid;married;secondary;no;3587.0;no;no;unknown;11;jun;133.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10210;48;technician;married;tertiary;no;;no;no;unknown;11;jun;516.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10211;58;management;married;tertiary;no;313.0;no;no;unknown;11;jun;204.0;2;-1;0;unknown;Tennis;Lisboa;no;no
10212;56;retired;married;primary;no;0.0;no;no;unknown;11;jun;188.0;2;-1;0;unknown;Tennis;Lisboa;no;no
10213;51;retired;married;primary;no;;no;no;unknown;11;jun;184.0;2;-1;0;unknown;Basketball;Lisboa;yes;no
10214;37;entrepreneur;single;tertiary;no;108.0;no;no;unknown;11;jun;157.0;6;-1;0;unknown;Tennis;Lisboa;yes;no
10215;49;services;single;secondary;no;133.0;no;no;unknown;11;jun;319.0;6;-1;0;unknown;Basketball;Lisboa;no;no
10216;58;retired;married;primary;no;;no;no;unknown;11;jun;199.0;6;-1;0;unknown;Basketball;Lisboa;no;no
10217;36;unemployed;married;secondary;no;;no;no;unknown;11;jun;595.0;2;-1;0;unknown;Basketball;Lisboa;yes;yes
10218;41;entrepreneur;married;secondary;no;;yes;no;unknown;11;jun;394.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10219;43;retired;married;primary;no;7298.0;no;no;unknown;11;jun;36.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10220;45;unknown;married;unknown;no;;no;no;unknown;11;jun;;9;-1;0;unknown;Basketball;Lisboa;yes;no
10221;37;management;single;tertiary;no;-119.0;yes;no;unknown;11;jun;375.0;11;-1;0;unknown;Soccer;Lisboa;no;no
10222;39;admin.;single;tertiary;no;23.0;no;no;unknown;11;jun;162.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10223;36;blue-collar;married;secondary;no;;no;no;unknown;11;jun;47.0;7;-1;0;unknown;Basketball;Lisboa;no;no
10224;46;unknown;married;primary;no;285.0;no;no;unknown;11;jun;;2;-1;0;unknown;Basketball;Lisboa;yes;no
10225;57;management;married;tertiary;no;1571.0;no;no;unknown;11;jun;230.0;13;-1;0;unknown;Basketball;Lisboa;no;no
10226;40;services;married;secondary;no;1325.0;no;no;unknown;11;jun;150.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10227;37;blue-collar;married;primary;no;587.0;no;no;unknown;11;jun;126.0;2;-1;0;unknown;Tennis;Lisboa;yes;no
10228;35;technician;single;tertiary;no;18.0;yes;yes;unknown;11;jun;;10;-1;0;unknown;Basketball;Lisboa;no;no
10229;45;services;married;primary;no;116.0;yes;no;unknown;11;jun;287.0;3;-1;0;unknown;Basketball;Lisboa;no;no
10230;56;housemaid;single;primary;no;1.0;no;no;unknown;11;jun;83.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10231;35;management;married;tertiary;no;810.0;no;no;unknown;11;jun;124.0;4;-1;0;unknown;Soccer;Lisboa;no;no
10232;54;retired;married;secondary;no;3671.0;no;no;unknown;11;jun;67.0;3;-1;0;unknown;Soccer;Lisboa;yes;no
10233;51;entrepreneur;single;tertiary;yes;15.0;no;no;unknown;11;jun;104.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10234;39;self-employed;married;tertiary;no;0.0;no;no;unknown;11;jun;904.0;4;-1;0;unknown;Soccer;Lisboa;yes;no
10235;38;services;divorced;primary;no;188.0;no;no;unknown;11;jun;597.0;10;-1;0;unknown;Soccer;Lisboa;no;no
10236;49;admin.;married;secondary;no;1788.0;yes;no;unknown;11;jun;274.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10237;38;blue-collar;single;tertiary;no;;yes;no;unknown;11;jun;124.0;4;-1;0;unknown;Soccer;Lisboa;yes;no
10238;32;technician;divorced;secondary;no;2.0;yes;no;unknown;11;jun;354.0;17;-1;0;unknown;Basketball;Lisboa;no;no
10239;57;admin.;married;secondary;no;5888.0;no;yes;unknown;11;jun;288.0;3;-1;0;unknown;Tennis;Lisboa;no;no
10240;41;self-employed;single;tertiary;no;1755.0;no;no;unknown;11;jun;152.0;10;-1;0;unknown;Soccer;Lisboa;no;no
10241;40;admin.;single;tertiary;no;1248.0;no;no;unknown;11;jun;1290.0;2;-1;0;unknown;Soccer;Lisboa;yes;yes
10242;44;blue-collar;married;primary;no;321.0;yes;no;unknown;11;jun;59.0;8;-1;0;unknown;Soccer;Lisboa;no;no
10243;45;services;married;secondary;no;1306.0;no;no;unknown;11;jun;125.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10244;52;admin.;married;secondary;no;;no;no;unknown;11;jun;158.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10245;36;blue-collar;married;secondary;no;1704.0;no;no;unknown;11;jun;179.0;4;-1;0;unknown;Basketball;Lisboa;no;no
10246;52;unemployed;married;unknown;no;83.0;yes;no;unknown;11;jun;26.0;29;-1;0;unknown;Basketball;Lisboa;no;no
10247;36;admin.;divorced;secondary;no;0.0;no;no;unknown;11;jun;203.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10248;58;housemaid;married;tertiary;no;497.0;no;no;unknown;11;jun;138.0;5;-1;0;unknown;Tennis;Lisboa;no;no
10249;43;technician;single;secondary;no;59.0;yes;no;unknown;11;jun;107.0;19;-1;0;unknown;Basketball;Lisboa;yes;no
10250;48;blue-collar;married;primary;no;3304.0;no;no;unknown;11;jun;409.0;3;-1;0;unknown;Soccer;Lisboa;yes;no
10251;60;management;married;tertiary;no;79.0;no;no;unknown;11;jun;48.0;3;-1;0;unknown;Basketball;Lisboa;yes;no
10252;29;admin.;single;secondary;no;171.0;yes;no;unknown;11;jun;83.0;10;-1;0;unknown;Soccer;Lisboa;yes;no
10253;37;blue-collar;married;primary;yes;-142.0;no;no;unknown;11;jun;199.0;3;-1;0;unknown;Soccer;Lisboa;yes;no
10254;40;services;single;secondary;no;316.0;no;no;unknown;11;jun;122.0;5;-1;0;unknown;Soccer;Lisboa;no;no
10255;31;blue-collar;married;secondary;no;30.0;yes;no;unknown;11;jun;172.0;14;-1;0;unknown;Basketball;Lisboa;no;no
10256;40;blue-collar;married;primary;no;5560.0;yes;no;unknown;11;jun;93.0;3;-1;0;unknown;Soccer;Lisboa;no;no
10257;36;blue-collar;married;primary;no;272.0;no;no;unknown;11;jun;222.0;2;-1;0;unknown;Soccer;Lisboa;no;no
10258;36;admin.;married;secondary;no;0.0;no;no;unknown;11;jun;378.0;4;-1;0;unknown;Basketball;Lisboa;no;no
10259;51;blue-collar;married;primary;no;;yes;no;unknown;11;jun;93.0;2;-1;0;unknown;Basketball;Lisboa;no;no
10260;55;management;married;tertiary;no;10957.0;no;no;unknown;11;jun;514.0;4;-1;0;unknown;Basketball;Lisboa;no;no
